customer_id,converted_at,revenue
1170,2020-02-03 14:20:08,15
2014,2020-02-04 4:30:21,15
2265,2020-02-04 9:43:35,10
1106,2020-02-04 9:55:00,10
745,2020-02-04 10:05:31,15
1151,2020-02-04 10:13:46,10
1393,2020-02-04 12:01:07,10
3798,2020-02-04 12:19:48,15
3695,2020-02-04 12:28:35,15
217,2020-02-04 21:05:41,15
2902,2020-02-05 1:08:10,15
1308,2020-02-05 10:53:50,15
3442,2020-02-06 5:48:45,10
3680,2020-02-07 2:59:40,10
2916,2020-02-07 14:09:39,10
3691,2020-02-07 23:02:49,15
2956,2020-02-10 1:54:54,15
1441,2020-02-10 15:16:28,15
2113,2020-02-11 19:14:05,10
1089,2020-02-13 1:55:18,15
3344,2020-02-13 18:30:13,15
